date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,countryName,stateName,countyName,intervention,fips,lat,long,lastUpdatedDate
2020-03-07,0,1610,0,82,0,168,nan,nan,0,0,18,731504,21,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-08,0,1610,0,82,0,168,nan,nan,0,9,23,731491,25,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-09,0,1610,0,82,0,168,nan,nan,0,21,29,731474,31,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-10,0,1610,0,82,0,168,nan,nan,0,35,36,731453,38,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-11,0,1610,0,82,0,168,nan,nan,0,52,45,731426,47,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-12,0,1610,0,82,0,168,nan,nan,0,74,57,731393,58,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-13,0,1610,0,82,0,168,1.7290178933,1.0885887672,0,101,70,731352,73,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-14,0,1610,0,82,0,168,1.719530237,0.9354430450000001,0,134,88,731301,90,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-15,0,1610,0,82,0,168,1.7071236101,0.8408749839,0,175,109,731238,112,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-16,0,1610,0,82,0,168,1.6911401464,0.8108479963,0,227,135,731159,139,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-17,0,1610,0,82,0,168,1.6718691317,0.7644495348,0,290,168,731062,173,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-18,0,1610,0,82,0,168,1.6488039379,0.7306933639000001,0,369,208,730941,215,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-19,0,1610,0,82,0,168,1.6217289254,0.6980947279,0,467,259,730791,267,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-20,0,1610,0,82,0,168,1.5907568689,0.6608475690000001,0,589,321,730606,330,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-21,0,1610,0,82,0,168,1.5558001544,0.618977179,0,738,397,730386,401,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-22,0,1610,0,82,0,168,1.5174827113,0.5896239533000001,0,917,486,730130,478,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-23,0,1610,0,82,0,168,1.4761342162,0.5669192195,0,1129,588,729836,560,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-24,0,1610,0,82,0,168,1.4323928052000001,0.5391317583,0,1375,703,729504,646,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-25,0,1610,0,82,0,168,1.3870211828,0.5175884014000001,0,1656,828,729136,733,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-26,0,1610,0,82,0,168,1.33980127,0.5023521026000001,0,1972,961,728736,817,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-27,0,1610,0,82,0,168,1.2909083953,0.4818252436,0,2322,1100,728309,895,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-28,0,1610,0,82,0,168,1.2432877554,0.4667046248,0,2701,1240,727861,963,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-29,0,1610,0,82,0,168,1.1969019762,0.4627745378,0,3105,1377,727404,1016,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-30,0,1610,0,82,0,168,1.1532706565,0.4522758041,0,3527,1505,726949,1050,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-03-31,0,1610,0,82,0,168,1.1123782786,0.44675990870000004,0,3959,1617,726506,1060,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-01,0,1610,0,82,0,168,1.0742363378,0.4462235332,0,4384,1706,726095,1046,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-02,0,1610,0,82,0,168,1.038735742,0.4449246671,0,4809,1773,725710,1005,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-03,0,1610,0,82,0,168,1.0060558596,0.45435853660000003,0,5208,1805,725375,943,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-04,0,1610,0,82,0,168,0.9752614001000001,0.4459276233,0,5582,1810,725049,894,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-05,0,1610,0,82,0,168,0.9458805498,0.4486356415,0,5940,1799,724724,862,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-06,0,1610,0,82,0,168,0.9178793286,0.45094539510000003,0,6286,1779,724402,838,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-07,0,1610,0,82,0,168,0.8908300111,0.4529803577,0,6624,1756,724084,818,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-08,0,1610,0,82,0,168,0.8644399458,0.45482501070000003,0,6954,1730,723770,802,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-09,0,1610,0,82,0,168,0.8381960075,0.4566274805,0,7278,1703,723461,787,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-10,0,1610,0,82,0,168,0.8124889981000001,0.45250144940000003,0,7596,1676,723156,773,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-11,0,1610,0,82,0,168,0.7871743487,0.4540356566,0,7909,1649,722857,760,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-12,0,1610,0,82,0,168,0.7625740889,0.4611371399,0,8216,1622,722562,747,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-13,0,1610,0,82,0,168,0.7392245702,0.46210406260000003,0,8518,1596,722273,734,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-14,0,1610,0,82,0,168,0.7172873225,0.4626632979,0,8815,1569,721988,722,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-15,0,1610,0,82,0,168,0.6975815198,0.4683518732,0,9107,1543,721708,710,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-16,0,1610,0,82,0,168,0.6801734489,0.47915065300000004,0,9395,1518,721432,698,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-17,0,1610,0,82,0,168,0.6658946809,0.48327257830000003,0,9677,1493,721162,686,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-18,0,1610,0,82,0,168,0.6550109019,0.5037349628,0,9955,1468,720895,675,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-19,0,1610,0,82,0,168,0.6474451525,0.5232395146000001,0,10228,1443,720634,664,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-20,0,1610,0,82,0,168,0.6432325891,0.5475495876,0,10496,1419,720376,653,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-21,0,1610,0,82,0,168,0.6422979027,0.5651399164,0,10760,1396,720123,642,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-22,0,1610,0,82,0,168,0.6444017529,0.5934001006,0,11020,1372,719875,631,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-23,0,1610,0,82,0,168,0.6494189318,0.6208192793,0,11275,1349,719630,620,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-24,0,1610,0,82,0,168,0.6566212548,0.6476076612,0,11526,1326,719390,610,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-25,0,1610,0,82,0,168,0.6652005399,0.6682250457000001,0,11772,1304,719154,599,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-26,0,1610,0,82,0,168,0.6747981607,0.6885484620000001,0,12015,1282,718922,589,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-27,0,1610,0,82,0,168,0.6848841096,0.7029574074,0,12253,1261,718693,579,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-28,0,1610,0,82,0,168,0.6947343837000001,0.7174343863,0,12487,1239,718469,569,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-29,0,1610,0,82,0,168,0.7039036,0.7263344669,0,12718,1218,718249,559,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-04-30,0,1610,0,82,0,168,0.7123850793000001,0.7296595774,0,12944,1198,718032,549,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-01,0,1610,0,82,0,168,0.7197540108,0.7217588474000001,0,13166,1178,717819,540,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-02,0,1610,0,82,0,168,0.7260991132,0.7199271742000001,0,13385,1157,717610,530,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-03,0,1610,0,82,0,168,0.7315092075,0.7183654145,0,13599,1138,717405,521,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-04,0,1610,0,82,0,168,0.7364358367,0.7111697164,0,13810,1118,717203,512,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-05,0,1610,0,82,0,168,0.7409619596,0.71563664,0,14018,1099,717004,504,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-06,0,1610,0,82,0,168,0.7452426613,0.7201744106,0,14221,1080,716809,495,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-07,0,1610,0,82,0,168,0.7503977012,0.7302332841,0,14422,1061,716618,486,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-08,0,1610,0,82,0,168,0.7566264045000001,0.7399822177000001,0,14618,1043,716429,478,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-09,0,1610,0,82,0,168,0.7645089123000001,0.7550272418,0,14811,1025,716244,469,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-10,0,1610,0,82,0,168,0.7753558902000001,0.7692164971000001,0,15001,1007,716063,461,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-11,0,1610,0,82,0,168,0.7890685635,0.7652579892,0,15188,990,715884,453,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-12,0,1610,0,82,0,168,0.8063927743,0.7833509311,0,15371,972,715709,445,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-13,0,1610,0,82,0,168,0.8279718604,0.7944420936000001,0,15551,956,715537,437,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-14,0,1610,0,82,0,168,0.8543337645,0.8041525755000001,0,15728,939,715367,430,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-15,0,1610,0,82,0,168,0.88539597,0.7951856891,0,15902,922,715201,422,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-16,0,1610,0,82,0,168,0.9204209670000001,0.7908483461,0,16073,906,715038,415,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-17,0,1610,0,82,0,168,0.9591940972,0.7796555075,0,16241,890,714877,407,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-18,0,1610,0,82,0,168,1.0009602687,0.7675986523,0,16406,875,714718,401,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-19,0,1610,0,82,0,168,1.0453822337,0.7720956437000001,0,16569,861,714557,399,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-20,0,1610,0,82,0,168,1.0916029182,0.7587528814000001,0,16732,849,714393,400,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-21,0,1610,0,82,0,168,1.1382547571,0.7452856555,0,16896,841,714226,404,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-22,0,1610,0,82,0,168,1.1842874582,0.7608646728,0,17062,835,714054,409,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-23,0,1610,0,82,0,168,1.2282694137,0.7366211704000001,0,17230,833,713879,416,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-24,0,1610,0,82,0,168,1.2688476035,0.724907256,0,17402,834,713698,425,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-25,0,1610,0,82,0,168,1.3041990232,0.7031551748,0,17578,839,713511,436,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-26,0,1610,0,82,0,168,1.3334080457,0.6831762509,0,17759,847,713318,449,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-27,0,1610,0,82,0,168,1.3556776074,0.6536535714,0,17945,859,713116,464,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-28,0,1610,0,82,0,168,1.3705449974000001,0.6089472068,0,18138,875,712907,480,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-29,0,1610,0,82,0,168,1.3775128371,0.5665212459,0,18339,894,712687,500,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-30,0,1610,0,82,0,168,1.3769262176,0.5378230749,0,18547,918,712457,521,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-05-31,0,1610,0,82,0,168,1.3689728329,0.49393099770000004,0,18765,945,712215,545,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-01,0,1610,0,82,0,168,1.3539965086,0.463613274,0,18993,977,711960,572,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-02,0,1610,0,82,0,168,1.3332829888,0.43495173600000003,0,19232,1012,711696,597,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-03,0,1610,0,82,0,168,1.3079510364,0.4133969273,0,19481,1050,711423,622,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-04,0,1610,0,82,0,168,1.2789644596,0.3986706205,0,19739,1090,711140,646,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-05,0,1610,0,82,0,168,1.2482690674,0.3728906008,0,20008,1132,710845,672,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-06,0,1610,0,82,0,168,1.2167059679,0.35890807210000003,0,20288,1176,710540,698,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-07,0,1610,0,82,0,168,1.1857349424,0.3389811236,0,20578,1221,710223,725,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-08,0,1610,0,82,0,168,1.1562961584,0.3417058658,0,20879,1268,709894,752,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-09,0,1610,0,82,0,168,1.1300482631,0.33773597510000003,0,21192,1317,709552,781,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-10,0,1610,0,82,0,168,1.1080950791,0.3267528054,0,21517,1367,709198,811,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-11,0,1610,0,82,0,168,1.0907747197,0.3317527625,0,21854,1420,708830,842,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-12,0,1610,0,82,0,168,1.078766067,0.3178988538,0,22204,1474,708448,874,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-13,0,1610,0,82,0,168,1.0719014011,0.31410700950000003,0,22567,1530,708052,907,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-14,0,1610,0,82,0,168,1.0696617297,0.3147535469,0,22944,1588,707641,941,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-15,0,1610,0,82,0,168,1.0719024563,0.31410670490000003,0,23335,1649,707214,976,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-16,0,1610,0,82,0,168,1.0780238018,0.32388663,0,23741,1711,706772,1012,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-17,0,1610,0,82,0,168,1.087473036,0.3211588711,0,24162,1775,706314,1050,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-18,0,1610,0,82,0,168,1.0997099947,0.3176263654,0,24598,1842,705838,1089,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-19,0,1610,0,82,0,168,1.1142487143,0.3134293985,0,25051,1911,705345,1130,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-20,0,1610,0,82,0,168,1.1301356931,0.3088432228,0,25520,1983,704833,1172,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-21,0,1610,0,82,0,168,1.1463459265,0.3099372342,0,26007,2057,704304,1215,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-22,0,1610,0,82,0,168,1.1622460312,0.31112077200000005,0,26512,2133,703754,1259,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-23,0,1610,0,82,0,168,1.1772074474,0.3068017832,0,27035,2212,703185,1305,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-24,0,1610,0,82,0,168,1.1905634675,0.308719735,0,27578,2294,702595,1353,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-25,0,1610,0,82,0,168,1.2025074165,0.3052718139,0,28140,2379,701984,1402,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-26,0,1610,0,82,0,168,1.2125668506,0.2908209,0,28723,2466,701350,1453,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-27,0,1610,0,82,0,168,1.2206054753,0.2711798408,0,29326,2556,700695,1505,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-28,0,1610,0,82,0,168,1.2265635302,0.2579128932,0,29951,2649,700016,1559,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-29,0,1610,0,82,0,168,1.2304869364,0.24523329800000002,0,30598,2745,699313,1614,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-06-30,0,1610,0,82,0,168,1.2328497555,0.23877770820000002,0,31268,2844,698586,1671,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-07-01,0,1610,0,82,0,168,1.2339370146,0.2326903408,0,31962,2946,697833,1730,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-07-02,0,1610,0,82,0,168,1.2338759005,0.22693448030000002,0,32680,3051,697055,1791,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-07-03,0,1610,0,82,0,168,1.2335196221,0.22126382630000002,0,33423,3160,696249,1853,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-07-04,2,1610,0,82,0,168,1.2326539268,0.2157402283,0,34192,3271,695417,1917,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-07-05,4,1610,1,82,0,168,1.231608845,0.204494912,0,34987,3387,694555,1983,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-07-06,7,1610,2,82,0,168,1.2306623571,0.1989946368,0,35811,3505,693663,2051,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
2020-07-07,9,1610,3,82,0,168,1.229573773,0.21213982620000002,0,36665,3627,692740,2121,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-16
